priority,opportunity_score,infra_fit,buying_intent,timing,company_name,siren,naf,city,employees,sites,top_signal,calculated_at
WARM,70.8,55.0,78.0,82.0,"{'hun': ['Zakład Ubezpieczeń Społecznych'], 'lav': ['Zakład Ubezpieczeń Społecznych'], 'swe': ['Zakład Ubezpieczeń Społecznych'], 'gle': ['Zakład Ubezpieczeń Społecznych'], 'ell': ['Zakład Ubezpieczeń Społecznych'], 'spa': ['Zakład Ubezpieczeń Społecznych'], 'est': ['Zakład Ubezpieczeń Społecznych'], 'nld': ['Zakład Ubezpieczeń Społecznych'], 'fin': ['Zakład Ubezpieczeń Społecznych'], 'pol': ['Zakład Ubezpieczeń Społecznych'], 'hrv': ['Zakład Ubezpieczeń Społecznych'], 'ron': ['Zakład Ubezpieczeń Społecznych'], 'ces': ['Zakład Ubezpieczeń Społecznych'], 'dan': ['Zakład Ubezpieczeń Społecznych'], 'por': ['Zakład Ubezpieczeń Społecznych'], 'slk': ['Zakład Ubezpieczeń Społecznych'], 'mlt': ['Zakład Ubezpieczeń Społecznych'], 'fra': ['Zakład Ubezpieczeń Społecznych'], 'deu': ['Zakład Ubezpieczeń Społecznych'], 'lit': ['Zakład Ubezpieczeń Społecznych'], 'ita': ['Zakład Ubezpieczeń Społecznych'], 'bul': ['Zakład Ubezpieczeń Społecznych'], 'slv': ['Zakład Ubezpieczeń Społecznych'], 'eng': ['Zakład Ubezpieczeń Społecznych']}",,,,,,Serveurs / Compute,2026-09-09T19:47:01.873865+00:00
WARM,70.8,55.0,78.0,82.0,"{'fra': ['Fonds des accidents du travail'], 'nld': ['Fonds voor Arbeidsongevallen']}",,,,,,Serveurs / Compute,2026-09-09T19:47:01.875479+00:00
WARM,70.8,55.0,78.0,82.0,{'lav': ['Ogres novada pašvaldība']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.876542+00:00
WARM,70.8,55.0,78.0,82.0,{'ron': ['Directia Nationala de Probatiune']},,,,,,Reseau Datacenter,2026-09-09T19:47:01.877504+00:00
WARM,70.8,55.0,78.0,82.0,{'ces': ['Hlavní město Praha']},,,,,,Serveurs / Compute,2026-09-09T19:47:01.878122+00:00
WARM,70.8,55.0,78.0,82.0,{'pol': ['Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.879183+00:00
WARM,70.8,55.0,78.0,82.0,{'pol': ['Politechnika Śląska']},,,,,,Serveurs / Compute,2026-09-09T19:47:01.879731+00:00
WARM,70.8,55.0,78.0,82.0,{'pol': ['Centrum Unijnych Projektów Transportowych']},,,,,,Stockage / Backup,2026-09-09T19:47:01.880245+00:00
WARM,70.8,55.0,78.0,82.0,"{'fra': [""Office Wallon de la formation professionnelle et de l'emploi""]}",,,,,,GPU / HPC / IA,2026-09-09T19:47:01.881271+00:00
WARM,70.8,55.0,78.0,82.0,{'ces': ['Česká republika – Ministerstvo zemědělství']},,,,,,Reseau Datacenter,2026-09-09T19:47:01.881776+00:00
WARM,70.8,55.0,78.0,82.0,{'ces': ['Univerzita Jana Evangelisty Purkyně v Ústí nad Labem']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.883314+00:00
WARM,70.8,55.0,78.0,82.0,{'ces': ['Univerzita Hradec Králové']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.883829+00:00
WARM,70.8,55.0,78.0,82.0,{'eng': ['Go-Ahead Holding Limited']},,,,,,Stockage / Backup,2026-09-09T19:47:01.884861+00:00
WARM,70.8,55.0,78.0,82.0,{'eng': ['National VideoLottery of Macedonia']},,,,,,Reseau Datacenter,2026-09-09T19:47:01.885384+00:00
WARM,70.8,55.0,78.0,82.0,{'deu': ['Technische Hochschule Deggendorf']},,,,,,Stockage / Backup,2026-09-09T19:47:01.889527+00:00
WARM,70.8,55.0,78.0,82.0,{'fra': ['Commune de Mamoudzou']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.890025+00:00
WARM,70.8,55.0,78.0,82.0,"{'fra': [""Commune d'Angoulême""]}",,,,,,Stockage / Backup,2026-09-09T19:47:01.891236+00:00
WARM,70.8,55.0,78.0,82.0,"{'deu': ['Freistaat Sachsen, vertreten durch das Sächsische Staatsministerium des Innern, dieses vertreten durch den Staatsbetrieb Sächsische Informatik Dienste']}",,,,,,Stockage / Backup,2026-09-09T19:47:01.893327+00:00
WARM,70.8,55.0,78.0,82.0,"{'fra': [""Université d'Auvergne""]}",,,,,,Reseau Datacenter,2026-09-09T19:47:01.893858+00:00
WARM,70.8,55.0,78.0,82.0,"{'deu': ['Technische Universität Dresden, Dezernat Finanzen und Beschaffung']}",,,,,,Stockage / Backup,2026-09-09T19:47:01.894374+00:00
WARM,70.8,55.0,78.0,82.0,{'deu': ['Ministerium für Schule und Weiterbildung NRW']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.895381+00:00
WARM,70.8,55.0,78.0,82.0,"{'pol': ['Wrocławski Instytut Piękna – WIP Monika Knakiewicz Iwanowska, Wojciech Iwanowski Spółka cywilna']}",,,,,,Stockage / Backup,2026-09-09T19:47:01.895873+00:00
WARM,70.8,55.0,78.0,82.0,{'pol': ['Narodowy Fundusz Zdrowia Warmińsko-Mazurski Oddział Wojewódzki']},,,,,,Serveurs / Compute,2026-09-09T19:47:01.896377+00:00
WARM,70.8,55.0,78.0,82.0,{'pol': ['Uniwersytet Warszawski']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.896912+00:00
WARM,70.8,55.0,78.0,82.0,{'fra': ['CHRU de Besançon']},,,,,,Stockage / Backup,2026-09-09T19:47:01.898457+00:00
WARM,70.8,55.0,78.0,82.0,{'hun': ['Eli-Hu Kutatási és Fejlesztési Nonprofit Közhasznú Kft.']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.898953+00:00
WARM,70.8,55.0,78.0,82.0,"{'deu': ['Republik Österreich, vertreten durch den Bundesminister für Finanzen']}",,,,,,Stockage / Backup,2026-09-09T19:47:01.899490+00:00
